"variable","pearson","spearman"
"OverallQual",0.790981600583805,0.809828586201729
"GrLivArea",0.708624477612651,0.731309583465914
"GarageCars",0.640409197258349,0.690710967049743
"GarageArea",0.62343143891836,0.649378533886823
"TotalBsmtSF",0.613580551559194,0.60272544489241
"X1stFlrSF",0.605852184691917,0.575407835421282
"FullBath",0.560663762748445,0.635957056249696
"TotRmsAbvGrd",0.533723155582024,0.532585935116993
"YearBuilt",0.522897332879497,0.652681546285059
"YearRemodAdd",0.507100967111387,0.571158978058234
"GarageYrBlt",0.486361677487862,0.593788326195851
"MasVnrArea",0.477493047095711,0.421309499328847
"Fireplaces",0.466928836751525,0.519247449836701
"BsmtFinSF1",0.386419806242156,0.301871203580095
"LotFrontage",0.351799096570679,0.40907551795465
"WoodDeckSF",0.324413444568131,0.353801607958789
"X2ndFlrSF",0.319333802832066,0.293597988222382
"OpenPorchSF",0.315856227116056,0.477560662282526
"HalfBath",0.284107675594778,0.343007549185683
"LotArea",0.263843353871406,0.456460583391211
"BsmtFullBath",0.227122233131497,0.225124867196124
"BsmtUnfSF",0.214479105546969,0.185196629420762
"BedroomAbvGr",0.168213154300741,0.234906717890279
"KitchenAbvGr",-0.135907370842142,-0.16482575498502
"EnclosedPorch",-0.128577957925956,-0.218393620552198
"ScreenPorch",0.11144657114291,0.100069720201227
"PoolArea",0.0924035494918727,0.0584529966898917
"OverallCond",-0.0778558940486774,-0.129324946600613
"X3SsnPorch",0.0445836653357479,0.0654402162006283
"LowQualFinSF",-0.0256061300006801,-0.0677191540789657
"MiscVal",-0.0211895796403038,-0.0627270024962966
"BsmtHalfBath",-0.0168441542973593,-0.0121888763107873
"BsmtFinSF2",-0.0113781214502152,-0.0388061320458942
