"Id","split"
1,"train"
2,"train"
3,"train"
4,"train"
5,"train"
6,"train"
7,"train"
8,"train"
9,"train"
10,"train"
11,"train"
12,"train"
13,"train"
14,"train"
15,"train"
16,"test"
17,"train"
18,"train"
19,"train"
20,"train"
21,"train"
22,"train"
23,"test"
24,"train"
25,"train"
26,"train"
27,"train"
28,"train"
29,"test"
30,"train"
31,"train"
32,"train"
33,"train"
34,"train"
35,"train"
36,"train"
37,"train"
38,"train"
39,"train"
40,"train"
41,"train"
42,"train"
43,"test"
44,"train"
45,"test"
46,"test"
47,"train"
48,"train"
49,"train"
50,"train"
51,"train"
52,"train"
53,"train"
54,"train"
55,"train"
56,"train"
57,"train"
58,"test"
59,"train"
60,"train"
61,"train"
62,"train"
63,"train"
64,"test"
65,"train"
66,"train"
67,"train"
68,"train"
69,"test"
70,"train"
71,"train"
72,"train"
73,"train"
74,"test"
75,"train"
76,"train"
77,"train"
78,"test"
79,"train"
80,"test"
81,"train"
82,"train"
83,"train"
84,"train"
85,"train"
86,"train"
87,"train"
88,"train"
89,"train"
90,"train"
91,"train"
92,"train"
93,"train"
94,"train"
95,"test"
96,"train"
97,"test"
98,"train"
99,"train"
100,"train"
101,"train"
102,"train"
103,"train"
104,"test"
105,"train"
106,"test"
107,"train"
108,"train"
109,"train"
110,"test"
111,"test"
112,"train"
113,"train"
114,"train"
115,"train"
116,"test"
117,"train"
118,"train"
119,"train"
120,"train"
121,"train"
122,"train"
123,"train"
124,"train"
125,"train"
126,"train"
127,"train"
128,"train"
129,"train"
130,"train"
131,"train"
132,"train"
133,"train"
134,"train"
135,"train"
136,"train"
137,"train"
138,"train"
139,"train"
140,"train"
141,"train"
142,"train"
143,"train"
144,"test"
145,"train"
146,"train"
147,"train"
148,"train"
149,"train"
150,"train"
151,"test"
152,"train"
153,"train"
154,"test"
155,"train"
156,"train"
157,"train"
158,"test"
159,"train"
160,"train"
161,"train"
162,"train"
163,"train"
164,"train"
165,"train"
166,"train"
167,"train"
168,"train"
169,"train"
170,"train"
171,"train"
172,"train"
173,"train"
174,"test"
175,"test"
176,"train"
177,"train"
178,"train"
179,"train"
180,"train"
181,"train"
182,"train"
183,"train"
